sha256_hashed_ip,event_timestamp_utc,category,subcategory,event_json,digital_remedy_channel,digital_remedy_customer_ntf_status,Digital Remedy Customer Ltv
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:46:05 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603660""}",Google,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:46:25 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603661""}",Pablo,yes,73.44
d7c038b5440045597bd783360c1fcd910d2db8b7afa76384c9114dacf8daa988,2022-11-13 12:47:17 UTC,checkout,,"{""amount"":""94"",""account_id"":""500285"")",Bing,yes,139.18
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:51:31 UTC,checkout,,"{""amount"":""648"",""account_id"":""7603662""}",Pablo,yes,1819
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:52:12 UTC,checkout,,"{""amount"":""316"",""account_id"":""7603664""}",Pablo,no,503.87
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:52:14 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603665""}",Facebook,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:57:35 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603666""}",Facebook,no,2557.23
3eac44e0dcc14f176dca2616bce1208adcd2bc758ea98ac7b31a28065b88ca2a,2022-11-13 12:58:12 UTC,checkout,,"{""amount"":""667"",""account_id"":""500286"")",Google,yes,1458.64
8d3c82237964e50d45ad8b169f067a20c64bbb1052832a25a86afcc6c749a867,2022-11-13 12:59:11 UTC,checkout,,"{""amount"":""68"",""account_id"":""500287"")",Other,yes,95.24
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:59:47 UTC,checkout,,"{""amount"":""19"",""account_id"":""7603667""}",Facebook,yes,19.11
46450aa60a5dd0a884983efc2f57ba940b05e371e1dc6d2a596e45ec0c90814a,2022-11-13 13:01:11 UTC,checkout,,"{""amount"":""42"",""account_id"":""500288"")",Other,no,501.08
d1d21902d6e328b5e6509256a3777eb50833fc7d0491c675a7883d46160fe93e,2022-11-13 13:01:14 UTC,checkout,,"{""amount"":""52"",""account_id"":""500289"")",Other,yes,104.04
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:05:59 UTC,checkout,,"{""amount"":""54"",""account_id"":""7603669""}",MKT,no,1972.29
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 13:06:03 UTC,checkout,,"{""amount"":""47"",""account_id"":""7603670""}",Facebook,yes,46.86
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 13:06:34 UTC,checkout,,"{""amount"":""17"",""account_id"":""7603671""}",Other MKT Hardcoded Link,no,1621.15
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 13:07:27 UTC,checkout,,"{""amount"":""1606"",""account_id"":""7603672""}",Facebook,yes,1642.29
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:08:17 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603673""}",Pablo,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:08:36 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603674""}",Facebook,yes,73.44
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:09:11 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603675""}",Google,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 13:10:42 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603678""}",Other MKT Hardcoded Link,yes,186.27
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 13:11:35 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603680""}",Other MKT Hardcoded Link,no,2525.8
3040a94559b229c7c13709ce34c1d49e07d6126518fe9c2176b911b04d33d3cf,2022-11-13 13:13:09 UTC,checkout,,"{""amount"":""100"",""account_id"":""500290"")",Other,no,1753.99
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:13:14 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603686""}",Facebook,no,1700.1
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:14:04 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603689""}",Facebook,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:14:31 UTC,checkout,,"{""amount"":""55"",""account_id"":""7603690""}",Other MKT Hardcoded Link,no,2525.8
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:17:43 UTC,checkout,,"{""amount"":""47"",""account_id"":""7603697""}",Facebook,yes,83.58
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 13:19:27 UTC,checkout,,"{""amount"":""29"",""account_id"":""7603699""}",Facebook,no,29.38
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:20:29 UTC,checkout,,"{""amount"":""22"",""account_id"":""7603701""}",MKT,no,239.66
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:20:53 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603702""}",Pablo,no,245.02
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 13:21:30 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603703""}",Pablo,yes,186.27
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:22:32 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603705""}",Facebook,yes,73.44
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 13:22:41 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603706""}",Facebook,yes,36.72
840ef995b309a9c635936896d75fa4c3f5922686af5748530385c68fc815b3e2,2022-11-13 13:23:06 UTC,checkout,,"{""amount"":""347"",""account_id"":""500291"")",Bing,yes,724
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:24:18 UTC,checkout,,"{""amount"":""47"",""account_id"":""7603708""}",Facebook,no,570.45
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 13:24:48 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603709""}",Google,yes,36.72
